Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2018/05/01;00:02:30;1525132950;111.5;180;146;143.0;0;0;29.9;85.8;47;499;-1
2018/05/01;00:17:40;1525133860;116.0;182;152;152.0;0;0;29.8;85.7;47;501;-1
2018/05/01;00:32:50;1525134770;98.9;173;130;124.0;0;0;29.7;85.4;47;509;-1
2018/05/01;00:48:00;1525135680;96.2;172;127;129.0;0;0;29.6;85.2;46;496;-1
2018/05/01;01:03:10;1525136590;90.9;169;120;116.0;0;0;29.5;85.1;47;507;-1
2018/05/01;01:18:20;1525137500;79.2;163;106;97.0;0;0;29.5;85.1;46;481;-1
2018/05/01;01:33:30;1525138410;74.7;161;100;96.0;0;0;29.5;85.1;45;490;-1
2018/05/01;01:48:40;1525139320;69.3;158;93;85.0;0;0;29.5;85.0;44;472;-1
2018/05/01;02:03:47;1525140227;68.4;158;92;84.0;0;0;29.4;85.0;45;470;-1
2018/05/01;02:18:57;1525141137;63.1;155;85;74.0;0;0;29.4;85.0;46;449;-1
2018/05/01;02:34:07;1525142047;70.2;159;94;89.0;0;0;29.4;85.0;47;441;-1
2018/05/01;02:49:17;1525142957;59.5;153;81;68.0;0;0;29.4;84.9;48;443;-1
2018/05/01;03:04:27;1525143867;59.5;153;81;71.0;0;0;29.3;84.8;49;451;-1
2018/05/01;03:19:37;1525144777;61.3;154;83;71.0;0;0;29.2;84.6;51;444;-1
2018/05/01;03:34:47;1525145687;62.2;154;84;76.0;0;0;29.1;84.4;52;464;-1
2018/05/01;03:49:57;1525146597;65.8;156;89;81.0;0;0;28.9;84.1;53;451;-1
2018/05/01;04:05:07;1525147507;61.3;154;83;70.0;0;0;28.8;83.8;54;459;-1
2018/05/01;04:20:17;1525148417;63.1;155;85;74.0;0;0;28.6;83.5;54;452;-1
2018/05/01;04:35:27;1525149327;63.1;155;85;77.0;0;0;28.5;83.3;54;455;-1
2018/05/01;04:50:37;1525150237;70.2;159;94;86.0;0;0;28.3;83.0;55;459;-1
2018/05/01;05:05:47;1525151147;81.0;164;108;100.0;0;0;28.2;82.8;55;466;-1
2018/05/01;05:18:39;1525151919;76.5;162;103;99.0;0;0;28.1;82.5;56;457;-1
2018/05/01;05:18:49;1525151929;75.6;161;102;96.0;0;0;28.1;82.5;56;455;-1
2018/05/01;05:19:00;1525151940;72.9;160;97;94.0;0;0;28.1;82.5;56;456;-1
2018/05/01;05:19:09;1525151949;74.7;161;100;97.0;0;0;28.1;82.5;56;462;-1
2018/05/01;05:19:19;1525151959;76.5;162;103;99.0;0;0;28.1;82.5;56;464;-1
2018/05/01;05:19:30;1525151970;79.2;163;106;101.0;0;0;28.1;82.5;56;469;-1
2018/05/01;05:19:39;1525151979;78.3;163;105;97.0;0;0;28.1;82.5;56;470;-1
2018/05/01;05:19:49;1525151989;78.3;163;105;97.0;0;0;28.1;82.5;56;471;-1
